============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.51 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   66  1 .5509806E+07   1513000E+01 -.7724E+06 -.4939E+06   .9967163 -.0747742 -.0310712
T   67  1 .6337482E+07   1513000E+01 -.3873E+06  .1668E+05   .9978001 -.0651676  .0121738
T   68  1 .5973825E+07   1513000E+01 -.3233E+06 -.5633E+06   .9943459 -.0583576 -.0887168
T   69  1 .5818075E+07   1513000E+01 -.2686E+06 -.3327E+06   .9929990 -.0282242 -.1147015
T   70  1 .6299309E+07   1513000E+01  .6277E+05  .1495E+05   .9993360  .0157477  .0328570
T   71  1 .6477841E+07   1513000E+01  .5947E+06 -.2918E+06   .9832916  .1475879 -.1065624
T   72  1 .6380018E+07   1513000E+01  .1624E+06  .4688E+05   .9903355  .1379610  .0142277
T   73  1 .5384197E+07   1513000E+01 -.1031E+06 -.2946E+05   .9977782 -.0202103 -.0634834
T   74  1 .6309633E+07   1513000E+01  .9083E+04  .4362E+06   .9991550  .0175512  .0371657
T   75  1 .6204999E+07   1513000E+01  .5421E+06  .1219E+07   .9931328  .0746075  .0901165
T   76  1 .6168638E+07   1513000E+01 -.2719E+06  .5330E+06   .9973064  .0100186  .0726602
T   77  1 .6005304E+07   1513000E+01 -.1639E+06 -.4900E+06   .9990121 -.0069281 -.0438957
T   78  1 .6439770E+07   1513000E+01  .2666E+06  .1154E+06   .9991219  .0411477  .0078900
T   79  1 .6036800E+07   1513000E+01 -.7695E+06 -.2991E+06   .9976461 -.0685172  .0027710
T   80  1 .6132726E+07   1513000E+01  .4909E+04 -.4344E+06   .9932639  .0234559 -.1134755
T   81  1 .5820787E+07   1513000E+01 -.7788E+04  .2805E+05   .9999956  .0021977  .0019676
T   82  1 .6821836E+07   1513000E+01  .4482E+06  .5099E+06   .9990672  .0121373  .0414420
T   83  1 .5938192E+07   1513000E+01  .2637E+05  .3233E+06   .9990362 -.0086363  .0430357
T   84  1 .6118234E+07   1513000E+01  .3647E+06 -.2158E+06   .9996231  .0272935  .0029522
T   85  1 .6048510E+07   1513000E+01  .5690E+05 -.2090E+05   .9979309 -.0281594 -.0578017
T   86  1 .6345116E+07   1513000E+01 -.2077E+06 -.5435E+06   .9937397 -.0354221 -.1059564
T   87  1 .5576488E+07   1513000E+01 -.3152E+06 -.5898E+05   .9998688 -.0127614  .0099761
T   88  1 .5786571E+07   1513000E+01 -.9295E+04  .2949E+06   .9938696 -.0172972  .1091972
T   89  1 .6227971E+07   1513000E+01  .6553E+05 -.1909E+06   .9987429  .0411597 -.0286086
