============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(18.1 MeV) ==> Layer 1( 1.48 mm) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  118  1 .6846654E+07   1488000E+01  .9804E+05  .4753E+06   .9998718 -.0120125  .0105871
T  119  1 .6762527E+07   1488000E+01  .3423E+06  .9601E+05   .9962292  .0816595  .0293120
T  120  1 .6363069E+07   1488000E+01 -.5657E+06  .3924E+05   .9980692 -.0609733 -.0118342
T  121  1 .6276170E+07   1488000E+01  .7007E+04  .5464E+06   .9992608  .0327282  .0201661
T  122  1 .6185363E+07   1488000E+01 -.7886E+05 -.1603E+06   .9994558 -.0262886 -.0199247
T  123  1 .6401051E+07   1488000E+01  .3279E+06 -.6058E+06   .9949402  .0363347 -.0936682
T  124  1 .6342524E+07   1488000E+01 -.8824E+05 -.9190E+06   .9954461 -.0519680 -.0799145
T  125  1 .7011652E+07   1488000E+01 -.4605E+06 -.1855E+06   .9877890 -.0611393 -.1432996
T  126  1 .6595741E+07   1488000E+01 -.7212E+05 -.2599E+06   .9994782  .0220992 -.0235583
T  127  1 .6235417E+07   1488000E+01 -.5200E+06  .1109E+07   .9887542 -.0302111  .1464666
T  128  1 .6446379E+07   1488000E+01  .1325E+05  .1187E+06   .9978278  .0609267  .0250541
T  129  1 .6649407E+07   1488000E+01 -.2026E+06  .1412E+06   .9958132  .0784128 -.0469842
T  130  1 .6709219E+07   1488000E+01  .9560E+05 -.1489E+06   .9976942 -.0383052 -.0560270
T  131  1 .6697668E+07   1488000E+01  .6403E+06  .2117E+06   .9977048  .0511066  .0444218
T  132  1 .6287652E+07   1488000E+01 -.2274E+06 -.3926E+05   .9997959 -.0142766 -.0142979
T  133  1 .6377500E+07   1488000E+01 -.1114E+06 -.5202E+06   .9984598  .0188353 -.0521853
T  134  1 .6957857E+07   1488000E+01  .2060E+06  .1721E+06   .9977671  .0327790  .0581929
T  135  1 .5992259E+07   1488000E+01  .7391E+06 -.6426E+06   .9965743  .0620779 -.0546451
T  136  1 .6245317E+07   1488000E+01  .1426E+06  .3334E+04   .9986820 -.0000419  .0513260
T  137  1 .6329055E+07   1488000E+01  .6409E+06  .2990E+06   .9989127  .0352667 -.0304902
T  138  1 .6048272E+07   1488000E+01  .2846E+06  .1864E+06   .9964544  .0711403  .0449184
T  139  1 .7044910E+07   1488000E+01  .1091E+06  .4231E+06   .9961528 -.0110229  .0869373
T  140  1 .6163972E+07   1488000E+01  .5143E+05  .4487E+05   .9979667 -.0129896 -.0624003
T  141  1 .6389876E+07   1488000E+01  .4598E+06 -.2672E+06   .9981820  .0431816 -.0420471
T  142  1 .6376411E+07   1488000E+01 -.1450E+05  .1007E+06   .9986445  .0357259  .0378536
T  143  1 .6820552E+07   1488000E+01 -.6296E+04 -.4558E+06   .9948353 -.0258752 -.0981486
T  144  1 .6444671E+07   1488000E+01 -.1676E+06 -.2259E+06   .9995698  .0021747 -.0292482
T  145  1 .5965007E+07   1488000E+01 -.6535E+04  .6849E+06   .9870488  .0149864  .1597190
T  146  1 .6170684E+07   1488000E+01 -.3317E+06 -.3050E+06   .9930925 -.0913041 -.0736940
T  147  1 .7195848E+07   1488000E+01  .3603E+06 -.1873E+06   .9997404  .0199527 -.0110003
T  148  1 .6179224E+07   1488000E+01  .2888E+06 -.3821E+06   .9912273  .1248357 -.0434115
T  149  1 .6146233E+07   1488000E+01  .4804E+06  .1030E+07   .9853568  .0671637  .1567197
T  150  1 .6379884E+07   1488000E+01 -.7284E+05  .7979E+05   .9999948  .0019817  .0025261
T  151  1 .5688690E+07   1488000E+01 -.1113E+06 -.1388E+06   .9986767 -.0008678 -.0514214
T  152  1 .6059948E+07   1488000E+01 -.2815E+06 -.8173E+05   .9990074 -.0008728  .0445357
T  153  1 .6406987E+07   1488000E+01 -.6158E+05  .5229E+06   .9963057  .0015256  .0858640
